"","Temp","Ni1size","Ni2size","Ni3size","Ni4size","Ni5size","Ni6size"
"213",2,-2.62229886647648,-2.62229886647648,-2.62229886647648,-2.62229886647648,-2.62229886647648,-2.62229886647648
"214",3,-2.69935134395972,-2.69935134395972,-2.69935134395972,-2.69935134395972,-2.69935134395972,-2.69935134395972
"215",4,-2.76196038160243,-2.76196038160243,-2.76196038160243,-2.76196038160243,-2.76196038160243,-2.76196038160243
"216",5,-2.81553979003755,-2.81553979003755,-2.81553979003755,-2.81553979003755,-2.81553979003755,-2.81553979003755
"217",0,-3.43832399738732,-3.43832399738732,-3.43832399738732,-3.43832399738732,-3.43832399738732,-3.43832399738732
"218",1,-3.59395972398588,-3.59395972398588,-3.59395972398588,-3.59395972398588,-3.59395972398588,-3.59395972398588
"219",2,-3.72124005521819,-3.72124005521819,-3.72124005521819,-3.72124005521819,-3.72124005521819,-3.72124005521819
"220",3,-3.8280676674237,-3.8280676674237,-3.8280676674237,-3.8280676674237,-3.8280676674237,-3.8280676674237
"221",4,-3.9197397889716,-3.9197397889716,-3.9197397889716,-3.9197397889716,-3.9197397889716,-3.9197397889716
"222",5,-3.9998500143149,-3.9998500143149,-3.9998500143149,-3.9998500143149,-3.9998500143149,-3.9998500143149
"223",0,-2.85985000279761,-2.85985000279761,-2.85985000279761,-2.85985000279761,-2.85985000279761,-2.85985000279761
"224",1,-2.9969935360645,-2.9969935360645,-2.9969935360645,-2.9969935360645,-2.9969935360645,-2.9969935360645
"225",2,-3.10915119185069,-3.10915119185069,-3.10915119185069,-3.10915119185069,-3.10915119185069,-3.10915119185069
"226",3,-3.20374944714672,-3.20374944714672,-3.20374944714672,-3.20374944714672,-3.20374944714672,-3.20374944714672
"227",4,-3.28563133211856,-3.28563133211856,-3.28563133211856,-3.28563133211856,-3.28563133211856,-3.28563133211856
"228",5,-3.35794763599086,-3.35794763599086,-3.35794763599086,-3.35794763599086,-3.35794763599086,-3.35794763599086
"229",0,-2.67263836191447,-2.67263836191447,-2.67263836191447,-2.67263836191447,-2.67263836191447,-2.67263836191447
"230",1,-2.78765206608139,-2.78765206608139,-2.78765206608139,-2.78765206608139,-2.78765206608139,-2.78765206608139
"231",2,-2.87755623383601,-2.87755623383601,-2.87755623383601,-2.87755623383601,-2.87755623383601,-2.87755623383601
